大麥仁	365 	347	11.7	8.6	1.6	0.5	1.0	77.1	8.5	0.4	0.0	0.0	0.0	0.0	0.3	0.0	13	249	26
大麥片	365 	352	12.1	8.6	1.8	0.5	0.8	76.7	6.0								7	246	13
大麥仁粉	389 	374	5.7	7.1	1.3	0.4	0.9	85.0	7.2	0.0	0.0	0.0		0.0	0.0	0.0	10	307	25
麥茶	18 	18	95.5				0.1	4.4									18	9	1
小米	370 	365	12.3	11.3	3.7	0.4	1.1	71.7	2.2								1	202	5
糯小米	360 	357	12.9	12.5	1.5	0.3	0.6	72.5	1.4	0.0	0.0	0.0		0.0	0.0	0.0	1	142	9
小麥	362 	338	12.6	14.1	2.6	0.5	1.5	69.2	11.3								1	364	19
小麥胚芽	417 	396	4.2	31.4	11.6	1.7	4.9	47.9	10.0								3	986	45
去筋麵粉	355 	354	13.6	0.2	0.1	0.0	0.3	85.7	0.4	0.0	0.0	0.0		0.0	0.0	0.0	29	9	7
低筋麵粉	364 	359	12.0	8.1	1.2	0.2	0.5	78.2	2.0								1	148	12
中筋麵粉	361 	357	12.6	11.5	1.3	0.3	0.5	74.1	1.8								4	125	12
高筋麵粉	362 	358	12.3	12.9	1.2	0.3	0.6	73.1	1.9								1	108	11
高筋麵粉(2021年)	362 	357	12.3	13.8	1.3	0.5	0.4	72.2	2.5	0.3	0.0	0.0	0.0	0.2	0.2	0.0	1	98	14
全麥麵粉	359 	342	12.7	13.0	1.7	0.3	1.2	71.4	8.0	0.3	0.0	0.0		0.0	0.3	0.0	2	277	23
雜糧中筋麵粉	361 	350	11.7	13.1	2.3	0.6	1.0	72.0	5.7	0.8	0.2	0.0		0.4	0.3	0.0	2	207	24
雜糧高筋麵粉	360 	350	12.4	14.3	2.8	0.8	0.9	69.6	5.3	1.1	0.2	0.1		0.4	0.3	0.0	2	218	24
水餃皮	264 	261	33.0	7.8	0.5	0.0	1.8	57.0	1.5								629	65	13
春捲皮	241 	237	38.9	8.3	0.7	0.0	1.8	50.4	2.0								545	75	16
餛飩皮	271 	268	31.4	8.3	0.5	0.0	1.5	58.2	1.5								501	77	15
乾麵條	357 	353	10.8	11.5	1.4	0.4	1.7	74.6	1.9	2.4	0.2	0.1		2.0	0.2	0.0	569	101	649
油麵條	361 	359	9.0	11.4	1.2	0.4	2.1	76.3	1.1	1.6	0.2	0.0		1.3	0.0	0.0	712	91	16
紅蘿蔔麵	352 	347	12.0	12.1	1.0	0.2	1.2	73.8	2.5								368	123	5
通心麵	359 	355	11.5	13.8	1.4	0.3	0.7	72.6	1.8								25	171	12
菠菜條	356 	351	11.5	11.8	1.2	0.3	1.1	74.4	2.5								310	130	4
